usage_year;usage_vendor;usage_ip_address;usage_journal_title;usage_count
2015;Oxford;107.77.87.117;Environmental Epigenetics;1
2015;Oxford;124.30.54.194;Toxicological Sciences;1
2015;Oxford;130.11.112.108;Journal of Chromatographic Science;2
2015;Wiley;130.11.112.108;Water Resources Research;1
2015;Wiley;130.11.112.110;Water Resources Research;1
2015;Wiley;130.11.112.111;Water Resources Research;1
2015;Wiley;130.11.112.115;Water Resources Research;1
2015;Wiley;130.11.112.120;Water Resources Research;1
2015;Wiley;130.11.112.122;Water Resources Research;1
2015;Wiley;130.11.112.125;Water Resources Research;1
2015;Wiley;130.11.112.126;Water Resources Research;1
2015;Oxford;130.11.112.136;The Journal of Applied Poultry Research;1
2015;Wiley;130.11.112.140;Water Resources Research;1
2015;Wiley;130.11.112.141;Water Resources Research;1
2015;Oxford;130.11.112.144;Journal of Analytical Toxicology;1
2015;Wiley;130.11.112.144;Water Resources Research;1
2015;Wiley;130.11.112.146;Water Resources Research;1
2015;Wiley;130.11.112.148;Water Resources Research;1
2015;Wiley;130.11.112.150;Water Resources Research;1
2015;Wiley;130.11.112.152;Water Resources Research;1
2015;Wiley;130.11.112.168;Water Resources Research;1
2015;Wiley;130.11.112.170;Water Resources Research;1
2015;Wiley;130.11.112.172;Journal of the Royal Statistical Society: Series B (Statistical Methodology);1
2015;Wiley;130.11.112.177;Water Resources Research;1
2015;Wiley;130.11.112.183;Water Resources Research;1
2015;Wiley;130.11.112.187;Water Resources Research;1
2015;Wiley;130.11.112.193;Water Resources Research;1
2015;Wiley;130.11.112.194;Water Resources Research;1
2015;Wiley;130.11.112.197;Water Resources Research;1
2015;Wiley;130.11.112.199;Water Resources Research;1
2015;Wiley;130.11.112.204;Water Resources Research;1
2015;Wiley;130.11.112.208;Water Resources Research;1
2015;Wiley;130.11.112.231;Water Resources Research;1
2015;Wiley;130.11.112.235;Water Resources Research;1
2015;Wiley;130.11.112.241;Water Resources Research;1
2015;Wiley;130.11.112.249;Water Resources Research;1
2015;Oxford;130.11.112.26;FEMS Microbiology Ecology;1
2015;Wiley;130.11.112.38;Water Resources Research;1
2015;Wiley;130.11.112.39;Water Resources Research;1
2015;Wiley;130.11.112.45;Water Resources Research;1
2015;Wiley;130.11.112.55;Water Resources Research;1
2015;Wiley;130.11.112.55;Environmental Microbiology Reports;1
2015;Wiley;130.11.112.58;Water Resources Research;1
2015;Wiley;130.11.112.65;Water Resources Research;1
2015;Wiley;130.11.112.70;Water Resources Research;1
2015;Wiley;130.11.112.72;Water Resources Research;1
2015;Wiley;130.11.112.72;Geophysical Research Letters;1
2015;Wiley;130.11.112.74;Water Resources Research;1
2015;Wiley;130.11.112.74;Geographical Analysis;1
2015;Wiley;130.11.112.82;Water Resources Research;1
2015;Wiley;130.11.112.88;Water Resources Research;1
2015;Wiley;130.11.112.95;Water Resources Research;1
2015;Oxford;130.11.112.98;BioScience;2
2015;Wiley;130.11.112.98;Water Resources Research;1
2015;Wiley;130.11.114.30;Geophysical Research Letters;1
2015;Wiley;130.11.114.36;Water Resources Research;1
2015;Wiley;130.11.114.39;Water Resources Research;1
2015;Wiley;130.11.129.112;Water Resources Research;1
2015;Wiley;130.11.129.113;Water Resources Research;1
2015;Wiley;130.11.129.116;Water Resources Research;1
2015;Wiley;130.11.129.117;Water Resources Research;1
2015;Oxford;130.11.129.123;BJA: British Journal of Anaesthesia;1
2015;Wiley;130.11.129.124;Water Resources Research;1
2015;Oxford;130.11.129.125;BioScience;1
2015;Oxford;130.11.129.125;Geophysical Journal International;2
2015;Wiley;130.11.129.125;Water Resources Research;1
2015;Wiley;130.11.129.125;Geophysical Research Letters;1
2015;Wiley;130.11.129.127;Water Resources Research;1
2015;Wiley;130.11.129.127;Geophysical Research Letters;1
2015;Wiley;130.11.129.128;Water Resources Research;1
2015;Wiley;130.11.129.129;Water Resources Research;1
2015;Wiley;130.11.129.130;Water Resources Research;1
2015;Wiley;130.11.129.131;Water Resources Research;1
2015;Wiley;130.11.129.131;Geophysical Research Letters;1
2015;Wiley;130.11.129.134;Water Resources Research;1
2015;Wiley;130.11.129.135;Water Resources Research;1
2015;Oxford;130.11.129.136;BioScience;2
2015;Wiley;130.11.129.136;Water Resources Research;1
2015;Wiley;130.11.129.139;Water Resources Research;1
2015;Wiley;130.11.129.141;Water Resources Research;1
2015;Wiley;130.11.129.144;Water Resources Research;1
2015;Wiley;130.11.129.152;Water Resources Research;1
2015;Wiley;130.11.129.153;Water Resources Research;1
2015;Oxford;130.11.129.155;BioScience;1
2015;Oxford;130.11.129.155;BioScience;1
2015;Wiley;130.11.129.155;Water Resources Research;1
2015;Wiley;130.11.129.155;Geophysical Research Letters;1
2015;Oxford;130.11.129.156;BioScience;1
2015;Wiley;130.11.129.156;Water Resources Research;1
2015;Wiley;130.11.129.160;Water Resources Research;1
2015;Oxford;130.11.129.165;Tree Physiology;1
2015;Wiley;130.11.129.165;Water Resources Research;1
2015;Wiley;130.11.129.168;Water Resources Research;1
2015;Oxford;130.11.129.172;Bioinformatics;1
2015;Wiley;130.11.129.172;Water Resources Research;1
2015;Wiley;130.11.129.176;Water Resources Research;1
2015;Wiley;130.11.129.181;Water Resources Research;1
2015;Wiley;130.11.129.182;Water Resources Research;1
2015;Wiley;130.11.144.113;Water Resources Research;1
2015;Wiley;130.11.144.123;Water Resources Research;1
2015;Oxford;130.11.144.148;British Medical Bulletin;1
2015;Wiley;130.11.144.148;Water Resources Research;1
2015;Wiley;130.11.144.177;Water Resources Research;1
2015;Oxford;130.11.144.194;Journal of Plankton Research;1
2015;Wiley;130.11.144.194;Water Resources Research;1
2015;Wiley;130.11.144.209;Water Resources Research;1
2015;Wiley;130.11.144.229;Water Resources Research;1
2015;Wiley;130.11.144.23;Water Resources Research;1
2015;Wiley;130.11.144.232;Water Resources Research;1
2015;Wiley;130.11.144.25;Water Resources Research;1
2015;Wiley;130.11.144.81;Water Resources Research;1
2015;Wiley;130.11.144.81;Ecosystem Health and Sustainability;1
2015;Wiley;130.11.146.4;Water Resources Research;1
2015;Oxford;130.11.148.14;International Journal of Epidemiology;1
2015;Wiley;130.11.160.101;Water Resources Research;1
2015;Oxford;130.11.160.117;Journal of Economic Entomology;3
2015;Wiley;130.11.160.117;Water Resources Research;1
2015;Wiley;130.11.160.120;Water Resources Research;1
2015;Wiley;130.11.160.121;Water Resources Research;1
2015;Wiley;130.11.160.124;Water Resources Research;1
2015;Wiley;130.11.160.13;Water Resources Research;1
2015;Wiley;130.11.160.137;Water Resources Research;1
2015;Wiley;130.11.160.146;Water Resources Research;1
2015;Wiley;130.11.160.147;Water Resources Research;1
2015;Wiley;130.11.160.148;Water Resources Research;1
2015;Oxford;130.11.160.15;BioScience;2
2015;Wiley;130.11.160.151;Water Resources Research;1
2015;Wiley;130.11.160.17;Water Resources Research;1
2015;Oxford;130.11.160.176;Tree Physiology;1
2015;Oxford;130.11.160.176;Journal of Experimental Botany;1
2015;Wiley;130.11.160.176;Water Resources Research;1
2015;Wiley;130.11.160.176;Journal of the Royal Statistical Society: Series B (Statistical Methodology);1
2015;Wiley;130.11.160.194;Water Resources Research;1
2015;Wiley;130.11.160.195;Water Resources Research;1
